repository,url,qt_colaboradores,qt_commits,qt_merge_commits,qt_merge_commits_conflict,qt_conflitos_validos_js,qt_regioes_conflitos_validos_js,qt_relacao_refactoring_arq_conflitante,qt_relacao_refactoring_regiao_conflito,qt_refactorings_arq,qt_refactorings_região_conflito,qt_tipo_refactorings_arq,qt_tipo_refactorings_region_conflict,qt_cen_rel_refac_arq,qt_cen_rel_refac_reg_conflict
ace,https://github.com/ajaxorg/ace,8401,1703,1795,113,116,210,781,66,166,55,8,5,19,9
angular.js,https://github.com/angular/angular.js,1703,9073,35,7,7,8,5,3,4,2,2,1,1,1
async,https://github.com/caolan/async,1883,232,385,26,12,17,10,2,5,2,1,1,1,1
axios,https://github.com/axios/axios,4150,417,204,16,16,23,4,0,3,0,3,0,4,0
BitcoinJS,https://github.com/bitcoinjs/bitcoinjs-lib,3047,90,569,14,7,11,4,1,2,1,2,1,1,1
bluebird,https://github.com/petkaantonov/bluebird,2112,244,220,8,14,23,67,67,52,0,2,0,1,0
bower,https://github.com/bower/bower,2792,227,440,20,18,19,3,0,2,0,1,0,2,0
bowser,https://github.com/lancedikson/bowser,931,88,270,25,19,38,16,3,4,3,4,3,2,2
brackets,https://github.com/adobe/brackets,17847,371,5836,624,649,1263,2387,77,132,63,8,7,54,20
chance,https://github.com/chancejs/chancejs,919,136,195,19,16,24,10,0,5,0,1,0,1,0
Charts.js,https://github.com/chartjs/Chart.js,4437,646,592,30,31,83,441,13,34,13,6,4,4,4
director,https://github.com/flatiron/director,747,58,82,16,15,39,39,12,11,8,3,3,4,3
fetch,https://github.com/github/fetch,656,75,128,7,5,6,4,0,4,0,2,0,1,0
gitBook,https://github.com/GitbookIO/gitbook,2369,100,208,8,7,9,23,21,22,21,6,6,3,3
i18next,https://github.com/i18next/i18next,1969,200,313,16,11,11,1,0,1,0,1,0,0,0
intro.js,https://github.com/usablica/intro.js,1300,102,427,23,22,45,53,0,12,0,3,0,9,0
jquery-pjax,https://github.com/defunkt/jquery-pjax,508,67,98,4,3,7,2,1,2,1,1,1,2,1
less.js,https://github.com/less/less.js,2972,252,487,64,69,92,578,60,220,45,7,5,18,15
mocha,https://github.com/mochajs/mocha,3601,485,552,20,5,10,0,0,0,0,0,0,0,0
mousetrap,https://github.com/ccampbell/mousetrap,392,26,45,3,2,2,0,0,0,0,0,0,0,0
nightmare,https://github.com/segmentio/nightmare,993,114,271,25,16,21,4,1,4,1,3,1,2,1
node_restify,https://github.com/restify/node-restify,1723,206,305,11,4,11,1,0,1,0,1,0,1,0
numbers,https://github.com/numbers/numbers.js,392,28,92,11,11,17,15,5,12,5,3,2,3,3
page.js,https://github.com/visionmedia/page.js,662,91,172,13,18,34,1,0,1,0,1,0,1,0
paper.js,https://github.com/paperjs/paper.js,7397,81,418,41,41,88,174,42,49,29,6,4,8,6
pm2,https://github.com/Unitech/pm2,4998,273,871,70,30,41,14,7,10,6,3,3,5,3
pug,https://github.com/pugjs/pug,2572,252,468,8,5,7,5,2,2,1,1,1,2,2
q,https://github.com/kriskowal/q,902,73,157,30,20,54,38,10,15,7,2,2,6,6
react,https://github.com/facebook/react,15783,1617,2603,33,30,58,41,8,20,7,4,1,6,3
requireJS,https://github.com/requirejs/requirejs,1409,109,161,10,4,15,364,28,77,23,5,3,4,3
reveal.js,https://github.com/hakimel/reveal.js,2964,307,532,66,38,54,8,2,5,2,1,1,4,1
socket.io,https://github.com/socketio/socket.io,1971,211,66,22,8,9,18,0,18,0,1,0,1,0
stylus,https://github.com/stylus/stylus,4106,195,581,35,23,32,2,1,2,1,2,1,2,1
three.js,https://github.com/mrdoob/three.js,41503,1750,9181,452,309,853,521,17,151,16,5,3,9,6
webtorrent,https://github.com/webtorrent/webtorrent,3311,170,486,27,16,42,1713,269,235,234,6,6,1,1
whistle,https://github.com/avwo/whistle,11131,31,76,15,7,8,405,148,107,67,6,6,1,1
zepto.js,https://github.com/madrobby/zepto,1517,185,245,22,17,29,18,3,10,3,2,2,4,3
atom,https://github.com/atom/atom,38533,495,4812,418,46,75,16,3,14,2,3,1,5,2
d3,https://github.com/d3/d3,4355,123,687,324,414,519,0,0,0,0,0,0,0,0
jasmine,https://github.com/jasmine/jasmine,2646,218,446,66,75,169,248,42,114,41,8,7,15,8
JShint,https://github.com/jshint/jshint,2306,245,354,24,7,13,8,0,8,0,3,0,3,0
underscore.js,https://github.com/jashkenas/underscore,2830,283,813,33,22,34,319,94,107,78,5,4,4,3
konva,https://github.com/konvajs/konva,3461,165,467,54,40,92,13,0,7,0,5,0,5,0
mustache.js,https://github.com/janl/mustache.js,830,115,137,11,9,12,0,0,0,0,0,0,0,0
webpack,https://github.com/webpack/webpack,15803,770,4550,322,9,12,6846,387,306,194,8,7,57,29
meteor,https://github.com/meteor/meteor/,33781,695,4569,710,167,285,401,51,115,46,8,6,20,14
freecodingCamp,https://github.com/freeCodeCamp/freeCodeCamp,32988,4704,4499,199,69,143,9,7,8,6,3,2,6,5
bootstrap,https://github.com/twbs/bootstrap,22399,1359,4216,476,195,361,8,1,4,1,2,1,32,23
node,https://github.com/nodejs/node,38878,3227,349,150,147,293,1040,334,173,122,7,6,2,1
lealeft,https://github.com/Leaflet/Leaflet,7646,787,1501,75,27,33,26,1,13,1,1,1,1,0
total,-,-,-,56966,4816,2868,5354,16704,1789,2269,1107,-,-,337,185